"V1","V4","V5"
"SRX1143683","TP63","Breast"
"SRX1146095","H3K4me3","Kidney"
"SRX1167098","5-hmC","Kidney"
"SRX1167099","5-mC","Kidney"
"SRX1167101","5-hmC","Kidney"
"SRX1167102","5-mC","Kidney"
"SRX1178183","OVOL2","Others"
"SRX117983","H3K4me3","Blood"
"SRX118010","GPS2","Kidney"
"SRX118011","TBL1Y","Kidney"
"SRX118012","NCOR1","Kidney"
"SRX118013","NCOR1","Kidney"
"SRX1184121","H3K4me3","Epidermis"
"SRX1184122","H3K9ac","Epidermis"
"SRX1184123","H3K27ac","Epidermis"
"SRX1184124","H3K27me3","Epidermis"
"SRX119737","H3K4me1","Lung"
"SRX1204268","H3K4me3","Pluripotent stem cell"
"SRX1206075","XRN2","Kidney"
"SRX121243","DNase-Seq","Gonad"
"SRX1224465","H3K4me3","Blood"
"SRX1224466","H3K4me3","Blood"
"SRX123442","SMARCB1","Pluripotent stem cell"
"SRX123443","POU5F1","Pluripotent stem cell"
"SRX123444","SMARCB1","Pluripotent stem cell"
"SRX123445","POU5F1","Pluripotent stem cell"
"SRX1272796","H3K27ac","Digestive tract"
"SRX1280448","NRF1","Breast"
"SRX1280449","NRF1","Breast"
"SRX1283466","SMN1","Kidney"
"SRX1283467","GFP","Kidney"
"SRX129091","H3K27ac","Blood"
"SRX129092","H3K4me3","Blood"
"SRX129093","MAX","Blood"
"SRX129116","MYC","Blood"
"SRX129117","MED1","Blood"
"SRX1293070","FUS","Kidney"
"SRX1293071","EWSR1","Kidney"
"SRX1293072","TAF15","Kidney"
"SRX130060","POU5F1","Epidermis"
"SRX130061","SOX2","Epidermis"
"SRX130062","KLF4","Epidermis"
"SRX130063","MYC","Epidermis"
"SRX130252","H3","Lung"
"SRX130253","H3K4me3","Lung"
"SRX130254","H3K27me3","Lung"
"SRX130255","LMNB1","Lung"
"SRX130256","H3","Lung"
"SRX130257","H3K4me3","Lung"
"SRX130258","H3K27me3","Lung"
"SRX130266","TET2","Kidney"
"SRX130267","TET3","Kidney"
"SRX130268","OGT","Kidney"
"SRX130609","BCOR","Blood"
"SRX130610","NCOR2","Blood"
"SRX1318615","SIX2","Kidney"
"SRX1318617","SIX2","Kidney"
"SRX1318619","SIX1","Kidney"
"SRX1318620","SIX1","Kidney"
"SRX1318625","H3K27ac","Kidney"
"SRX1318626","H3K27ac","Kidney"
"SRX1322299","EBNA1","Blood"
"SRX1360979","H3K27ac","Lung"
"SRX1360980","H3K27ac","Lung"
"SRX1360981","H3K27ac","Lung"
"SRX1360982","BRD4","Lung"
"SRX1360983","BRD4","Lung"
"SRX1360984","BRD4","Lung"
"SRX1403823","H3K4me3","Lung"
"SRX1403824","H3K36me3","Lung"
"SRX1403825","H3K4me3","Lung"
"SRX1403826","H3K36me3","Lung"
"SRX1403827","H3K4me3","Lung"
"SRX1403828","H3K36me3","Lung"
"SRX1403829","H3K4me3","Lung"
"SRX1403830","H3K36me3","Lung"
"SRX1420086","DNase-Seq","Gonad"
"SRX1420087","DNase-Seq","Gonad"
"SRX1425808","CTCF","Blood"
"SRX1425809","CTCF","Blood"
"SRX1427029","TET2","Kidney"
"SRX1427030","MBD3L2","Kidney"
"SRX1429050","PARP1","Kidney"
"SRX143111","H3K4me3","Cardiovascular"
"SRX143113","H3K4me3","Cardiovascular"
"SRX144522","NFE2L2","Blood"
"SRX144526","NFE2L2","Blood"
"SRX1451224","H3K27ac","Epidermis"
"SRX1451225","H3K27ac","Epidermis"
"SRX1451226","H3K27ac","Epidermis"
"SRX1451227","H3K27ac","Epidermis"
